[VAMS][2014-05-19 15:49:06,989] INFO | server send message is success | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:49:06,989] INFO | server send message is success | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:49:06,989] INFO | server send message is success | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:49:06,989] INFO | server send message is success | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:49:08,000] INFO | server start nosometings | [NioProcessor-3] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:49:14,771] INFO | server start nosometings | [NioProcessor-4] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:49:16,192] INFO | server start nosometings | [NioProcessor-2] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:49:17,129] INFO | server start nosometings | [NioProcessor-3] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:49:18,143] INFO | server start nosometings | [NioProcessor-3] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:49:24,914] INFO | server start nosometings | [NioProcessor-4] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:49:26,335] INFO | server start nosometings | [NioProcessor-2] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:49:27,272] INFO | server start nosometings | [NioProcessor-3] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:49:28,286] INFO | server start nosometings | [NioProcessor-3] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:49:35,057] INFO | server start nosometings | [NioProcessor-4] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:49:36,478] INFO | server start nosometings | [NioProcessor-2] com.huangxu.mina.Demo1Handler.sessionIdle(49)
